title,author,publisher,library,provider,platform,image_url,isbn
혼자서 떠나는 여행 : 낯선 곳에서 침묵이 나에게 말을 걸어온다,정원철,어깨위망원경,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150558514/XL,
일주일 식탁풍경,류향란,유페이퍼,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151358732/XL,
각성,김요한,떠오름,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149876895/XL,
미니멀리스트 창업가 : 위대한 창업가는 어떻게 작게 시작해 크게 이루는가,사힐 라빈지아,캐피탈엣지랩스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150274151/XL,
돌비공포라디오 더 레드 : 무서운 실화 레전드 괴담집,돌비,arte(아르테),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150829082/XL,
자유로운 생활,"오송민,이지훈",위즈덤하우스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151039656/XL,
나는 나를 때리러 간다 : 몸으로 사유한 중년 여성의 존재 회복기,김현정(RUEN),작가와,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151116923/XL,
돈이 자유다 : 당신이 21억을 최대한 빨리 벌어야 하는 이유,얼음공장,황금부엉이,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151663436/XL,
"스테이블코인: 머니 리셋 : 비트코인에서 시작된 궁극의 통화, 미래를 삼키다","정구태,박혜진,김가영,이동기,김호균,길진세",미래의창,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150795877/XL,
호흡 리셋,신효상,이덴슬리벨(EAT&SLEEPWELL),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150801226/XL,
애불레의 일본여행,김규현,작가와,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150849942/XL,
토마토 컵라면,차정은,부크크,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151050380/XL,
말하지 않고 이기기로 했다,최명기,시공사,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151211149/XL,
미치광희 최광희입니다,최광희,크레타,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151759744/XL,
어린이 세계의 동화3 : 신데렐라 외 2편,계몽사,계몽사,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105361336/XL,
인간으로 사는 일은 하나의 문제입니다,김영민,어크로스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105261205/XL,
닥터딩요의 백년 건강 : 내과 의사 유튜버 ‘닥터딩요’가 알려주는 성인병의 오해와 진실,김태균(닥터딩요),21세기북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105275897/XL,
고립의 시대,노리나 허츠,웅진지식하우스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105245314/XL,
거인의 포트폴리오 : 월급을 쪼개서 경제적 자유를 만드는 23가지 전략,강환국,페이지2,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105253175/XL,
메타버스 골드러시,민문호,슬로디미디어,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105117762/XL,
마법에서 과학으로: 자석과 스핀트로닉스,김갑진,이음,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105310379/XL,
90일 밤의 미술관 : 루브르 박물관 : 루브르에서 여행하듯 시작하는 교양 미술 감상,"이혜준,임현승,정희태,최준호 공저",동양북스(동양books),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105178009/XL,
아직 오지 않은 날들을 위하여 : 세계적 지성이 전하는 나이듦의 새로운 태도,파스칼 브뤼크네르,인플루엔셜,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105314205/XL,
유리멘탈을 위한 좋은 심리 습관,가타다 도모야,비즈니스북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105117979/XL,
일몰의 저편,기리노 나쓰오,북스피어,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/105886325/XL,
