title,author,publisher,library,provider,platform,image_url,isbn
뭘 해도 되는 운명 : 꿈을 현실로 바꾸는 힘,조 비테일,유노북스,영등포구 도서관,YES24,YES24,/images/bookimg/L_1583806.jpg,
큇 QUIT : 자주 그만두는 사람들은 어떻게 성공하는가,애니 듀크,세종서적,영등포구 도서관,YES24,YES24,/images/bookimg/403492108.png,
베싸육아,박정은,래디시,영등포구 도서관,YES24,YES24,/images/bookimg/L_1583766.jpg,
시어머니 유품정리 : 어떤 삶이 좋은 삶일까를 떠올리게 하는 이별과 죽음에 대한 따뜻한 위로,가키야 미우,문예춘추사,영등포구 도서관,YES24,YES24,/images/bookimg/404653467(1).jpg,
시작하세요! C# 10 프로그래밍 : 기본 문법부터 실전 예제까지,정성태,위키북스,영등포구 도서관,YES24,YES24,/images/bookimg/398830846.jpg,
세계 철학 필독서 50 : 플라톤부터 마이클 샌델까지 2500년 철학 명저 50권을 한 권에,톰 보틀러 보든,센시오,영등포구 도서관,YES24,YES24,/images/bookimg/402044017.jpg,
외로움 수업  : 온전한 나와 마주하는 시간에 대하여,김민식,생각정원,영등포구 도서관,YES24,YES24,/images/bookimg/407463987.jpg,
메이드,니타 프로스,마시멜로,영등포구 도서관,YES24,YES24,/images/bookimg/408955400.jpg,
15억 작은 부자 현주씨의 돈 관리 습관 : 국민경제멘토 김경필이 알려주는,김경필,좋은습관연구소,영등포구 도서관,YES24,YES24,/images/bookimg/409376476.jpg,
미스터 프레지던트 : 국가 기념식과 대통령 행사 이야기,탁현민,메디치미디어,영등포구 도서관,YES24,YES24,/images/bookimg/L_1585778.jpg,
운을 벌어야 돈이 벌린다,이정재,부커,영등포구 도서관,YES24,YES24,/images/bookimg/L_1585458.jpg,
되는 사람 : 안 될 놈의 굴레를 깨트릴 인생 설계도,도널드 밀러,윌북(willbook),영등포구 도서관,YES24,YES24,/images/bookimg/408444277(1).jpg,
식탁 위의 일본사 : 음식으로 읽는 일본 역사 이야기,미야자키 마사카츠,더봄,영등포구 도서관,YES24,YES24,/images/bookimg/408167430.jpg,
인생을 숙제처럼 살지 않기로 했다,웃따,다산북스,영등포구 도서관,YES24,YES24,/images/bookimg/409422791.jpg,
콰이어트 모닝 : 생각이 현실이 되는 고요한 시간의 힘,추현호,클레이하우스,영등포구 도서관,YES24,YES24,/images/bookimg/409349123.jpg,
엘리어트 파동이론 마스터 : 엘리어트 파동이론의 탁월한 재발견,글렌 닐리,원앤원북스,영등포구 도서관,YES24,YES24,/images/bookimg/382967007.jpg,
우리는 각자의 세계가 된다 : 뇌과학과 신경과학이 밝혀낸 생후배선의 비밀,데이비드 이글먼,알에이치코리아(RHK),영등포구 도서관,YES24,YES24,/images/bookimg/405294836.jpg,
초거대 위협 : 앞으로 모든 것을 뒤바꿀 10가지 위기,누리엘 루비니,한국경제신문,영등포구 도서관,YES24,YES24,/images/bookimg/410331926(1).jpg,
운의 심리학,유민지,쌤앤파커스,영등포구 도서관,YES24,YES24,/images/bookimg/405309380.jpg,
아이에게 주는 감정 유산 : 가족심리학자 엄마가 열어준 마음 성장의 힘,이남옥,라이프앤페이지,영등포구 도서관,YES24,YES24,/images/bookimg/L_1588672.jpg,
마음 가면,브레네 브라운,웅진지식하우스,영등포구 도서관,YES24,YES24,/images/bookimg/L_1588060.jpg,
다시 내일을 기대하는 법,임현주,위즈덤하우스,영등포구 도서관,YES24,YES24,/images/bookimg/409409723.jpg,
배니시드,김도윤,팩토리나인,영등포구 도서관,YES24,YES24,/images/bookimg/409926661.jpg,
평범한 그들이 어떻게 30대에 건물주가 되었을까?,"서울행복지킴이,정설,라이언79,빅토리아,고고고,나비,32년 100억,행복하자아,알렉스김",매일경제신문사,영등포구 도서관,YES24,YES24,/images/bookimg/L_1586530.jpg,
ChatGPT 인공지능 융합교육법 : 디지털 대전환 시대 하이컨셉 디지털 리터러시,"변문경,박찬,김병석,전수연,이지은 공저",다빈치books,영등포구 도서관,YES24,YES24,/images/bookimg/409800200.jpg,
보도 섀퍼 부의 레버리지,보도 섀퍼,비즈니스북스,영등포구 도서관,YES24,YES24,/images/bookimg/409349582.jpg,
1퍼센트 부자의 법칙,사이토 히토리,나비스쿨(NAVI SCHOOL),영등포구 도서관,YES24,YES24,/images/bookimg/L_1586166.jpg,
챗GPT : 마침내 찾아온 특이점,반병현,생능북스,영등포구 도서관,YES24,YES24,/images/bookimg/L_1591584.jpg,
불륜의 심리학 : 우리는 왜 사랑하는 사람을 두고 또 다른 사랑을 꿈꾸는가?,"게르티 젱어,발터 호프만 공저",탐나는책,영등포구 도서관,YES24,YES24,/images/bookimg/407465210.JPG,
아들은 아버지의 등을 보고 자란다,최광현,유노라이프,영등포구 도서관,YES24,YES24,/images/bookimg/410611515.jpg,
일생에 단 한번은 독기를 품어라,권민창,마인드셋(Mindset),영등포구 도서관,YES24,YES24,/images/bookimg/404241547.jpg,
김미경의 마흔 수업 : 이미 늦었다고 생각하는 당신을 위한,김미경,어웨이크북스,영등포구 도서관,YES24,YES24,/images/bookimg/409435631.jpg,
소설가라는 이상한 직업,장강명,유유히,영등포구 도서관,YES24,YES24,/images/bookimg/L_1590191.jpg,
나를 다 안다는 착각 : 무의식은 어떻게 나를 뒤흔드는가,카렌 호나이,페이지2,영등포구 도서관,YES24,YES24,/images/bookimg/410665685.jpg,
디테일의 발견,생각노트,위즈덤하우스,영등포구 도서관,YES24,YES24,/images/bookimg/410650326(1).jpg,
열방약국 말기암 통합요법 상담소,김훈하,리더북스,영등포구 도서관,YES24,YES24,/images/bookimg/408066343.jpg,
원래 어른이 이렇게 힘든 건가요,김종원,마인드셋(Mindset),영등포구 도서관,YES24,YES24,/images/bookimg/407660305.jpg,
무기력의 심리학 : 무력감을 털어내고 나답게 사는 심리 처방전,브랫 프랭크,흐름출판,영등포구 도서관,YES24,YES24,/images/bookimg/409788564.jpg,
정세현의 통찰 : 국제질서에서 시대의 해답을 찾다,정세현,푸른숲,영등포구 도서관,YES24,YES24,/images/bookimg/L_1594259.jpg,
나는 도레미 : 고등어 태비 아기 고양이의 혼잣말,히라노 에리코,북노마드,영등포구 도서관,YES24,YES24,/images/bookimg/395784926.jpg,
"내일을 준 너에게, 마지막 러브레터를",고자쿠라 스즈,놀,영등포구 도서관,YES24,YES24,/images/bookimg/411436919.jpg,
걸어서 저를 만나러 가는 중 입니다 : 세상의 중심에 선 온전한 시간,임대영,퍼스트클래스,영등포구 도서관,YES24,YES24,/images/bookimg/L_1592505.jpg,
자기사랑 10분 수업 : 마음공부에 1억 투자한 심리상담사의,김유정,퍼스트클래스,영등포구 도서관,YES24,YES24,/images/bookimg/L_1592504.jpg,
악인론,손수현,다산북스,영등포구 도서관,YES24,YES24,/images/bookimg/410925770(1).jpg,
날씨와 얼굴,이슬아,위고,영등포구 도서관,YES24,YES24,/images/bookimg/L_1592248.jpg,
K 배터리 레볼루션,박순혁,지와인,영등포구 도서관,YES24,YES24,/images/bookimg/408915164.jpg,
리더의 태도 : 리더의 차이는 어디에서 나오는가,문성후,카시오페아,영등포구 도서관,YES24,YES24,/images/bookimg/408423126.jpg,
요즘 어른을 위한 최소한의 맞춤법 : 읽을수록 교양이 쌓이는 문해력 필수 어휘 70,이주윤,빅피시,영등포구 도서관,YES24,YES24,/images/bookimg/413039587.jpg,
거인의 노트,김익한,다산북스,영등포구 도서관,YES24,YES24,/images/bookimg/411863534.jpg,
아주 세속적인 지혜 : 400년 동안 사랑받은 인생의 고전,발타자르 그라시안,페이지2,영등포구 도서관,YES24,YES24,/images/bookimg/412872314.jpg,
피메일스,안드레아 롱 추,위즈덤하우스,영등포구 도서관,YES24,YES24,/images/bookimg/L_1602443.jpg,
인류의 여정,오데드 갤로어,시공사,영등포구 도서관,YES24,YES24,/images/bookimg/411453777.jpg,
상실의 기쁨,프랭크 브루니,웅진지식하우스,영등포구 도서관,YES24,YES24,/images/bookimg/L_1601877.jpg,
청년 주부 구운몽,강선우,고즈넉이엔티,영등포구 도서관,YES24,YES24,/images/bookimg/408276091.jpg,
효기심의 권력으로 읽는 세계사 - 유럽편,효기심,다산초당,영등포구 도서관,YES24,YES24,/images/bookimg/411222410.png,
생명과 약의 연결고리,김성훈,웅진지식하우스,영등포구 도서관,YES24,YES24,/images/bookimg/L_1596917.jpg,
오십에 읽는 순자 : 새로운 삶을 시작하기 위한 철학 수업,최종엽,유노북스,영등포구 도서관,YES24,YES24,/images/bookimg/411427029.jpg,
벌거벗은 한국사 : 권력편 : 본격 우리 역사 스토리텔링쇼,tvN STORY 〈벌거벗은 한국사〉 제작팀,프런트페이지,영등포구 도서관,YES24,YES24,/images/bookimg/413950263.jpg,
"80년대생 학부모, 당신은 누구십니까   : 우리의 미래를 좌우할 새로운 세대 발견, 더 하이퍼리얼 보고서",이은경,아워미디어,영등포구 도서관,YES24,YES24,/images/bookimg/413955483.jpg,
조선 미술관 : 풍속화와 궁중기록화로 만나는 문화 절정기 조선의 특별한 순간들,탁현규,블랙피쉬,영등포구 도서관,YES24,YES24,/images/bookimg/L_1618708.jpg,
"세계화의 종말과 새로운 시작 : 2세기에 걸쳐 진화한 세계화의 과거, 현재, 미래",마크 레빈슨,페이지2,영등포구 도서관,YES24,YES24,/images/bookimg/415138251.jpg,
챗GPT와 글쓰기 : ChatGPT와 함께하는 AI 글쓰기 실전,김철수,위키북스,영등포구 도서관,YES24,YES24,/images/bookimg/411292336(1).jpg,
"챗GPT와 업무자동화 : 1분 만에 끝내는 엑셀, 구글 시트, 파워포인트, 파이썬 자동화 with ChatGPT",김철수,위키북스,영등포구 도서관,YES24,YES24,/images/bookimg/412891957.jpg,
"진짜 챗GPT 활용법 : 엑셀 활용법부터 블로그 자동화, 유튜브 콘텐츠 생성, 미드저니와 ChatGPT API 사용법까지","김준성,유원준,안상준",위키북스,영등포구 도서관,YES24,YES24,/images/bookimg/412890069.jpg,
어른의 감정 수업 : 쉽게 상처받고 흔들리는 마음을 단단하게 지켜내는 법,인현진,앤의서재,영등포구 도서관,YES24,YES24,/images/bookimg/413625327.jpg,
챗GPT 사용설명서 : 일주일 만에 대화형 인공지능 챗봇 완전 정복,송준용,여의도책방,영등포구 도서관,YES24,YES24,/images/bookimg/410780551.jpg,
자연스러운 인체 드로잉 : 해부학부터 옷 주름까지 배우는,소은 박경선,동양북스(동양books),영등포구 도서관,YES24,YES24,/images/bookimg/L_1610392.jpg,
밤의 경비원,루이스 어드리크,프시케의숲,영등포구 도서관,YES24,YES24,/images/bookimg/416326955.jpg,
블랙 쇼맨과 환상의 여자,히가시노 게이고,알에이치코리아(RHK),영등포구 도서관,YES24,YES24,/images/bookimg/L_1627023.jpg,
암컷들,루시 쿡,웅진지식하우스,영등포구 도서관,YES24,YES24,/images/bookimg/416482822.jpg,
"AI 이후의 세계 : 챗GPT는 시작일 뿐이다, 세계질서 대전환에 대비하라","헨리 A. 키신저,에릭 슈밋,대니얼 허튼로커,김대식 공저",윌북(willbook),영등포구 도서관,YES24,YES24,/images/bookimg/L_1626780.jpg,
바람의 노래를 들어라 : 자전적 이야기를 담은 하루키의 첫 소설,무라카미 하루키,문학사상,영등포구 도서관,YES24,YES24,/images/bookimg/4154429.jpg,
요즘 미술은 진짜 모르겠더라 : 난해한 현대미술을 이해하는 12가지 키워드,정서연,21세기북스,영등포구 도서관,YES24,YES24,/images/bookimg/415216224.jpg,
메리골드 마음 세탁소,윤정은,북로망스,영등포구 도서관,YES24,YES24,/images/bookimg/411833988.jpg,
맡겨진 소녀,클레어 키건,다산책방,영등포구 도서관,YES24,YES24,/images/bookimg/416171467.jpg,
파이어키퍼의 딸,안젤린 불리,문학서재,영등포구 도서관,YES24,YES24,/images/bookimg/413182895.jpg,
나르시시스트 관계 수업 : 엄마로 인해 무기력한 딸을 위한 회복 심리학,브렌다 스티븐스,유노라이프,영등포구 도서관,YES24,YES24,/images/bookimg/415521274.jpg,
아내를 위해서 월요일에 죽기로 했다,류현재,해피북스투유,영등포구 도서관,YES24,YES24,/images/bookimg/L_1636477.jpg,
별일은 없고요?,이주란,한겨레출판,영등포구 도서관,YES24,YES24,/images/bookimg/L_1634488.jpg,
이끼숲,천선란,자이언트북스,영등포구 도서관,YES24,YES24,/images/bookimg/416340393.jpg,
"진화하는 언어 : 유인원에서 사이보그까지, 언어는 어떻게 창조되고 진화했는가","모텐 H. 크리스티안센,닉 채터 공저",웨일북,영등포구 도서관,YES24,YES24,/images/bookimg/414703175.jpg,
쇼펜하우어의 행복론과 인생론,아르투어 쇼펜하우어,을유문화사,영등포구 도서관,YES24,YES24,/images/bookimg/L_1630775.jpg,
이토록 클래식이 끌리는 순간 : 대한민국 클래식 입문자&애호가들이 가장 사랑한 불멸의 명곡 28,최지환,북라이프,영등포구 도서관,YES24,YES24,/images/bookimg/L_1630908.jpg,
울 1,휴 하위,시공사,영등포구 도서관,YES24,YES24,/images/bookimg/L_1640740.jpg,
울 2,휴 하위,시공사,영등포구 도서관,YES24,YES24,/images/bookimg/L_1640800.jpg,
"미드나잇 뮤지엄: 파리 : 하루의 끝, 혼자서 떠나는 환상적인 미술관 여행",박송이,빅피시,영등포구 도서관,YES24,YES24,/images/bookimg/417099046.jpg,
제법 엄숙한 얼굴,"지하련,임솔아",작가정신,영등포구 도서관,YES24,YES24,/images/bookimg/415807334.jpg,
나는 오늘도 경제적 자유를 꿈꾼다,청울림(유대열),알에이치코리아,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4808925564289.jpg,
체공녀 강주룡,박서련,한겨레출판,영등포구 도서관,YES24,YES24,/images/bookimg/M_932633.jpg,
예민함이라는 무기,롤프 젤린,나무생각,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4801162180298.jpg,
하버드 자기조절 수업,가오펑,라이스메이커,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4801185392579.jpg,
조선 정신과 의사 유세풍,이은소,새움,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4801189271023.jpg,
여자들은 모르는 남자들의 심리,이성현,21세기북스,영등포구 도서관,YES24,YES24,/images/bookimg/M_932684.jpg,
자궁 리셋,김윤희,위즈덤하우스,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4801162206196.jpg,
설민석의 한국사 대모험. 7,설민석,아이휴먼,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4801188874140.jpg,
시인장의 살인,이마무라 마사히로,엘릭시르,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4808954651936.jpg,
최고의 변화는 어디서 시작되는가,벤저민 하디,비즈니스북스,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4801162540238.jpg,
하버드 비즈니스 독서법,하토야마 레히토,가나출판사,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4808957369654.jpg,
승리의 기술,스콧 애덤스,더퀘스트,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4801160505123.jpg,
이것이 중국의 역사다. 1: 고대부터 위진남북조 시대까지,홍이,애플북스,영등포구 도서관,교보,YES24,/images/bookimg//kyobo/L4801186639765.jpg,
