title,author,publisher,library,image_url,isbn
[필독서 따라잡기] 통섭(에드워드 윌슨),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 타인의 고통(수전 손택),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 정의론(존 롤즈),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 자유로부터의 도피(에리히 프롬),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 열하일기(박지원),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 시계밖의 시간(제이 그리피스),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
"역사인물 인터뷰 : 세계사인물 다시보기, 진시황에서 이토 히로부미까지",최용범,페이퍼로드,동작구 구립도서관 (교보),,
호프집 창업과 경영,현성주,미래와경영,동작구 구립도서관 (교보),,
알기쉬운 정보전략계획 ISP : 지식정보화시대 기업경영의 출발점,신철,미래와경영,동작구 구립도서관 (교보),,
개인과외교습의 모든 것,장준혁,미래와경영,동작구 구립도서관 (교보),,
끌리는 사람은 분명 따로 있다,임무경,미래와경영,동작구 구립도서관 (교보),,
대박 공부방 분명 따로 있다,김해진,미래와경영,동작구 구립도서관 (교보),,
보험영업 불변의 법칙,차재혁,미래와경영,동작구 구립도서관 (교보),,
사장이 직원에게 꼭 말하고 싶은 것,남영학,미래와경영,동작구 구립도서관 (교보),,
스펙없이 성공하기,정동민,미래와경영,동작구 구립도서관 (교보),,
알고 하자 부동산 경매 권리분석,김명채,미래와경영,동작구 구립도서관 (교보),,
종합학원 이야기,이성근,미래와경영,동작구 구립도서관 (교보),,
참여형 수업을 이끄는 창의적 교수법 47가지,전창욱,미래와경영,동작구 구립도서관 (교보),,
프레젠테이션 경쟁에서 이기는 비밀,"김민구, 서원호",미래와경영,동작구 구립도서관 (교보),,
교과서만화(3.사회),SAM기획,삼성출판사,동작구 구립도서관 (교보),,
교과서만화(4.과학),임영제,삼성출판사,동작구 구립도서관 (교보),,
교과서만화(4.국어),SAM기획,삼성출판사,동작구 구립도서관 (교보),,
아들아 아빠는 꿈을 꾼단다 1,차승현,라떼북,동작구 구립도서관 (교보),,
아들아 아빠는 꿈을 꾼단다 2,차승현,라떼북,동작구 구립도서관 (교보),,
우리속담 영어속담 500 1,탁안철,에듀펍,동작구 구립도서관 (교보),,
우리속담 영어속담 500 2,탁안철,에듀펍,동작구 구립도서관 (교보),,
칭찬과 꾸중 : 아이는 엄마의 노력으로 완성된다,조무아,새론북스,동작구 구립도서관 (교보),,
어린왕자 두 번째 이야기,A. G. 로엠메르스,지식의숲,동작구 구립도서관 (교보),,
ENJOY 제주 Part1 지역여행,강석균,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 제주 Part2 섬여행,강석규,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 제주 Part3 자연생태여행,강석균,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 제주 Part4 올레여행,강석균,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 제주 Part5 테마여행,강석균,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 서울 Part1 지역여행,구지선,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 서울 Part2 근교여행,구지선,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 서울 Part3 테마여행Ⅰ,구지선,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 서울 Part4 테마여행Ⅱ,구지선,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 부산 Part1 지역여행,구지선,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 부산 Part2 근교여행,구지선,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 부산 Part3 테마여행,구지선,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 부산 Part4 스페셜여행,구지선,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 필리핀 Part3 지역여행Ⅲ,백주희,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 필리핀 Part4 테마여행,백주희,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 홍콩 Part1 지역여행Ⅰ,최은주,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 홍콩 Part2 지역여행Ⅱ,최은주,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 홍콩 Part3 테마여행Ⅰ,최은주,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 홍콩 Part4 테마여행Ⅱ,최은주,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 터키 Part1 지역여행,"김지선, 문은정",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 터키 Part2 해안여행,"김지선, 문은정",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 터키 Part3 내륙여행,"김지선, 문은정",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 터키 Part4 테마여행,"김지선, 문은정",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 하와이 Part3 지역여행Ⅲ 빅 아일랜드,오다나,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 하와이 Part4 지역여행 Ⅳ 카우아이,오다나,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 하와이 Part5 테마여행,오다나,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 상하이 Part1 지역여행Ⅰ,"이나미, 민보영",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 상하이 Part2 지역여행Ⅱ,"이나미, 민보영",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 상하이 Part3 근교여행Ⅰ,"이나미, 민보영",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 방콕 Part1 지역여행,강석균,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 파리 Part1 지역여행Ⅰ,"김지선, 문은정",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 파리 Part2 지역여행 Ⅱ,"김지선, 문은정",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 파리 Part3 근교여행,"김지선, 문은정",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 파리 Part4 테마여행,"김지선, 문은정",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 호주 Part1 지역여행Ⅰ,정태관.정양희,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 호주 Part2 지역여행Ⅱ,정태관.정양희,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 호주 Part3 지역여행Ⅲ,정태관.정양희,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 뉴욕 Part1 지역여행 Ⅰ,김하연,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 뉴욕 Part2 지역여행 Ⅱ,김하연,넥서스BOOKS,동작구 구립도서관 (교보),,
