title,author,publisher,library,provider,platform,image_url,isbn
"치유의 혁명, 심신의학 EFT : 모든 육체 질환의 심리적 원인과 그 치유법",최인원,몸맘얼,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149394488/M,
영원을 향하여,안톤 허,반타,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150033736/M,
신체와 질병의 구조 : 그림으로 이해하는 인체 이야기,다나카 후미히코 감수,성안당,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/109750931/M,
히든 스토리 : 인생의 무기가 되는,킨드라 홀이은경 역,윌북willbook,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/109747774/M,
말하기 전에 생각했나요? : 당당하게 말하지만 상처 주지 않는 대화법,권민창,떠오름,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/110662160/M,
세븐,전인구,차이정원,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/109739208/M,
힘들어도 사람한테 너무 기대지 마세요 : 기대면 더 상처받는 사람들을 위한 관계 심리학,정우열,동양북스동양books,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/109710310/M,
감정 어휘,유선경,앤의서재,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/109724410/M,
철학자의 신학 수업,강영안,복 있는 사람,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/110219511/M,
저 별은 모두 당신을 위해 빛나고 있다,손힘찬,떠오름,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/110662173/M,
프로세스 이코노미 : 아웃풋이 아닌 프로세스를 파는 새로운 가치 전략,오바라 가즈히로김용섭 해제이정미 역,인플루엔셜,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/109558513/M,
맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우,빅피시,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/109590205/M,
