title,author,publisher,library,image_url
빛이 이끄는 곳으로,백희성 저,북로망스,종로구 전자도서관 (API),
빠르게 생각하고 똑똑하게 말하라 : 스탠퍼드대 최고의 말하기 강의,맷 에이브러햄스 저/진정성 역,웨일북,종로구 전자도서관 (API),
사모펀드 투자와 경영의 비밀,김태엽 저,세이코리아,종로구 전자도서관 (API),
사물들,조르주 페렉 저/김명숙 역,웅진지식하우스,종로구 전자도서관 (API),
삶이 너에게 레몬을 줄 때 : 니체부터 봉준호까지 63인의 훔치고 싶은 좌우명,성기철 저,마인드빌딩,종로구 전자도서관 (API),
선악의 기원 : 아기를 통해 보는 인간 본성의 진실,"폴 블룸 저/최재천,김수진 역",21세기북스,종로구 전자도서관 (API),
성적을 부탁해 티처스,"정승제,조정식,성적을 부탁해 티처스 제작진 저",다산에듀,종로구 전자도서관 (API),
슬로우 워크,칼 뉴포트 저/이은경 역,웅진지식하우스,종로구 전자도서관 (API),
시티 뷰,우신영 저,다산책방,종로구 전자도서관 (API),
아들 엄마의 말 연습 : 아들의 평생 습관과 공부력을 결정하는 엄마 말의 힘,윤지영 저,북라이프,종로구 전자도서관 (API),
아래층에 부커상 수상자가 산다,케이트 가비노 저/이은선 역,윌북(willbook),종로구 전자도서관 (API),
아무도 상처받지 않는 대화법 : 칭찬보다 더 효과적인 말투의 심리학,하야시 겐타로 저/민혜진 역,포텐업,종로구 전자도서관 (API),
"아무튼, 라디오 : 우리는 내내 외로울 것이나",이애월 저,제철소,종로구 전자도서관 (API),
"아서 코난 도일, 선상 미스터리 단편 컬렉션 : 모든 파도는 비밀을 품고 있다",아서 코난 도일 저/남궁진 편역,센텐스,종로구 전자도서관 (API),
"안녕, 하고 시를 만났다",최인영 저,양철북,종로구 전자도서관 (API),
야닝야닝의 힙뜨개 : 초보 니터도 쉽게 완성하는 데일리 뜨개 소품 16,야닝야닝 저,빅피시,종로구 전자도서관 (API),
어두울 때에야 보이는 것들이 있습니다,"슈테판 츠바이크 저/클라우스 그레브너,폴커 미헬스 편/배명자 역",다산초당,종로구 전자도서관 (API),
어떤 새의 이름을 아는 슬픈 너,문보영 저,위즈덤하우스,종로구 전자도서관 (API),
어떤 어른,김소영 저,사계절,종로구 전자도서관 (API),
어떤 일은 그냥 벌어진다,브라이언 클라스 저/김문주 역,웅진지식하우스,종로구 전자도서관 (API),
"어쨌든, 커피 : ‘진짜’를 만드는 스페셜티 카페들의 특별한 이야기",김승민 저,황금부엉이,종로구 전자도서관 (API),
여백 사고 : 비우는 여백에서 만드는 여백으로,야마자키 세이타로 저/김영주 역,북스톤,종로구 전자도서관 (API),
예술과 인공지능,윤나라 저,커뮤니케이션북스,종로구 전자도서관 (API),
완전한 구원,에단 호크 저/김승욱 역,다산책방,종로구 전자도서관 (API),
운동하는 사피엔스 : 움직이기 싫어하도록 진화한 몸을 어떻게 운동하게 할 것인가,대니얼 리버먼 저/왕수민 역,프시케의숲,종로구 전자도서관 (API),
"운명이 건네는 호의, Favor","이서윤,홍주연 저",화이트오션,종로구 전자도서관 (API),
월 300 만원 버는 주식 투자 공식 : 미국 ETF 투자로 평생 월급 받는 법,진서빈 저,이든하우스,종로구 전자도서관 (API),
유전자를 바꾸는 식단 : 인류 본래의 음식은 무엇인가,"캐서린 섀너핸,루크 섀너핸 저/박중환 역",세이버스,종로구 전자도서관 (API),
음악소설집,"김애란,김연수,윤성희,은희경,편혜영 저",프란츠,종로구 전자도서관 (API),
장수 고양이를 찾아서 : 9묘 9인 인터뷰집,황효진 저/정멜멜 사진,뉘앙스(NUANCE),종로구 전자도서관 (API),
"정말 쉽네? 챗GPT 입문 : 이미지 생성, 상위 노출 블로그, 최신 모델 o1, 번역, 외국어 공부, 유튜브 쇼츠, 수익화, 나만의 GPT, 프롬프트 백과",오힘찬 저,골든래빗 주식회사,종로구 전자도서관 (API),
좋은 리더를 넘어 위대한 리더로,"짐 콜린스,빌 레지어 저/이경식 역",흐름출판,종로구 전자도서관 (API),
주식 투자 책 : 비기너 편 : 더 이상 미룰 수 없어서 시작했지만 뭐부터 해야 할지 몰라 고른 첫 번째 머니툽ㄱ,최광자 저,경이로움,종로구 전자도서관 (API),
죽을 때까지 나를 다스린다는 것,기시미 이치로 저/김지윤 역,위즈덤하우스,종로구 전자도서관 (API),
지금 당장 양자컴퓨터에 투자하라,권중현(가을바람) 저,애덤스미스,종로구 전자도서관 (API),
진짜 하루만에 이해하는 제약·바이오 산업 : 강하나 전 애널리스트가 알려주는 제약·바이오 투자의 정석,강하나 저,티더블유아이지,종로구 전자도서관 (API),
찬란한 멸종,이정모 저,다산북스,종로구 전자도서관 (API),
"초가공식품, 음식이 아닌 음식에 중독되다",크리스 반 툴레켄 저/김성훈 역,웅진지식하우스,종로구 전자도서관 (API),
"트럼프 2.0 : 트럼프의 귀환, 놓쳐서는 안 될 정책 변화와 산업 트렌드","김광석,박세익,박정호,오태민 저",이든하우스,종로구 전자도서관 (API),
플랫폼을 지배하는 조회수의 법칙 : 수익형 콘텐츠를 위한 6단계 SNS 마케팅,게리 바이너척 저/이지민 역,알에이치코리아(RHK),종로구 전자도서관 (API),
한옥 적응기,정기황 저,빨간소금,종로구 전자도서관 (API),
"향신료 전쟁 : 세계화, 제국주의, 주식회사를 탄생시킨 향신료 탐욕사",최광용 저,한겨레출판,종로구 전자도서관 (API),
결정하는 습관,리처드 모란 저/이지민 역,북스톤,종로구 전자도서관 (API),
루카치를 읽는 밤,조현 저,폭스코너,종로구 전자도서관 (API),
챔피언처럼 생각하고 거래하라,마크 미너비니 저/ 송미리 역/ 김대현 감수,이레미디어,종로구 전자도서관 (API),
폭풍이 지나가고,댄 야카리노 글그림/김경연 역,다봄,종로구 전자도서관 (API),
#낫워킹맘 : 워킹맘도 전업주부도 아닌 우리들,낫워킹맘 저,나비클럽,종로구 전자도서관 (API),
(보기만 해도 쉽게 풀리는) 어린이 수학 도감,"남택진,이현욱 글/정은혜 그림",다락원,종로구 전자도서관 (API),
"0.6의 공포, 사라지는 한국 : 아이가 있는 미래는 무엇으로 가능한가",정재훈 저,21세기북스,종로구 전자도서관 (API),
0924 청소년 심리학 : 사춘기에서 성인 이행기의 청소년들을 심리학으로 바라보다,고건 저,지식과감성#,종로구 전자도서관 (API),
"0~3세 기적의 뇌과학 육아 : 컬럼비아대 뇌과학자 엄마가 알려주는 생후 1,000일 애착 형성 가이드",그리어 커센바움 저/이은정 역,21세기북스,종로구 전자도서관 (API),
0~5세 골든 브레인 육아법  : 스탠퍼드 박사 엄마가 알려 주는 영유아 두뇌 발달 컨설팅,김보경 저,웨일북,종로구 전자도서관 (API),
1%를 읽는 힘,메르 저,토네이도,종로구 전자도서관 (API),
100대 기업 ESG 담당자가 가장 자주 하는 질문,"김태한,정현상 공저",세이코리아,종로구 전자도서관 (API),
100배 식당 장사의 비밀,이미나 저,라온북,종로구 전자도서관 (API),
"100세 시대, 茶와의 동행 : 茶와 건강",김종욱 저,지식과감성#,종로구 전자도서관 (API),
100일 아침 습관의 기적,켈리 최 저,다산북스,종로구 전자도서관 (API),
