title,author,publisher,library,platform,provider,image_url,isbn
너는 나의 새벽이었어,진성림,지식과감성,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801139227810/L4801139227810.jpg,
생존을 위한 최소한의 지리,최준영,교보문고,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/480N250875610/L480N250875610.jpg,
ETF 투자의 모든 것,문일호,매일경제신문사,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801164847984/L4801164847984.jpg,
"AGI, 천사인가 악마인가",김대식,동아시아,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808962626667/L4808962626667.jpg,
아주 느린 작별,정추위,다산책방,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801130698602/L4801130698602.jpg,
워런 버핏과 찰리 멍거,워런 버핏,교보문고,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801170612972/L4801170612972.jpg,
K뷰티 트렌드,김난도,미래의창,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193638782/L4801193638782.jpg,
도둑맞은 자부심,앨리 러셀 혹실드,어크로스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/480N250823710/L480N250823710.jpg,
렛뎀 이론,멜 로빈스,비즈니스북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801162544328/L4801162544328.jpg,
부모의 태도가 아이의 불안이 되지 않게,애슐리 그래버 · 마리아 에번스,부키,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193528793/L4801193528793.jpg,
염증 노화,박병순,쌤앤파커스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194755679/L4801194755679.jpg,
완밥하는 아기로 키우는 비밀,곽윤철,북라이프,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801191013970/L4801191013970.jpg,
키메라의 땅 1,베르나르 베르베르,열린책들,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808932925349/L4808932925349.jpg,
키메라의 땅 2,베르나르 베르베르,열린책들,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808932925356/L4808932925356.jpg,
나는 다시 나를 설계하기로 했다,마르틴 베를레,메이븐,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801199092908/L4801199092908.jpg,
인생을 바꾸는 최고의 ETF,잼투리,거인의정원,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193869261/L4801193869261.jpg,
잘 벌고 잘 쓰고 잘 살고 싶어서 돈 공부를 시작했다,래빗해빛(김아름),토네이도,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801158513260/L4801158513260.jpg,
부정을 부정하라,앤서니 이아나리노,오픈도어북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801173741310/L4801173741310.jpg,
너라는 브랜드를 마케팅하라,이소라,클랩북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193941394/L4801193941394.jpg,
신삼국지,tvN STORY 〈신삼국지〉 제작팀,프런트페이지,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193401492/L4801193401492.jpg,
돈으로 읽는 세계사,강영운,교보문고,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801170612897/L4801170612897.jpg,
새로운 질서,헨리 키신저,윌북,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801155818443/L4801155818443.jpg,
"이세돌, 인생의 수읽기",이세돌,웅진지식하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808901296883/L4808901296883.jpg,
초보자를 단숨에 고수로 만드는 주식투자 핵심 수업,이정윤,이레미디어,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193394756/L4801193394756.jpg,
다정한 사람이 이긴다,이해인,필름(Feelm),양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193262659/L4801193262659.jpg,
