title,author,publisher,library,provider,platform,image_url,isbn,goods_id
아기 포로,"김지연 글,그림",우리나비,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109664777/M,,109664777
"니콜라 테슬라, 전기에 날개를 달다",함지슬 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109724416/M,,109724416
나의 친애하는 비건 친구들에게,멜라니 조이,심심,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109859909/M,,109859909
청소년을 위한 장준하 평전,신명철,우리교육,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109747771/M,,109747771
1968 밤섬 수비대,방민경 글,우리교육,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109747773/M,,109747773
히든 스토리,킨드라 홀,윌북(willbook),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109747774/M,,109747774
처음 하는 역사학 공부,김서형,EBS BOOKS,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109735732/M,,109735732
슬기로운 생활법률,박일환,EBS BOOKS,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109735736/M,,109735736
[단독] 세븐,전인구,차이정원,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109739208/M,,109739208
내 맘대로 하고 싶은 날,강심원 글,좋은꿈,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109743373/M,,109743373
재활용 아저씨 고마워요,알리 미트구치 글그림,풀빛,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109661840/M,,109661840
힘들어도 사람한테 너무 기대지 마세요,정우열,동양북스(동양books),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109710310/M,,109710310
감정 어휘,유선경,앤의서재,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109724410/M,,109724410
어느 날 유리멘탈 개복치로 판정받았다,태지원,크레타,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109772074/M,,109772074
인플레이션에서 살아남기,오건영,페이지2,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109772354/M,,109772354
비폭력 대화로 마음을 위로하고 회복 탄력성을 키우는 치유 수업,이보경,우리교육,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109747522/M,,109747522
부엉이를 만났다,임창아 글,학이사어린이,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109771598/M,,109771598
22일간의 떠돌이,김상삼 글,학이사어린이,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109771608/M,,109771608
말하기 전에 생각했나요?,권민창,떠오름,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/110662160/M,,110662160
"예순 살, 나는 또 깨꽃이 되어",이순자,휴머니스트,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109743382/M,,109743382
내가 바로 그 악마입니다,서석영,풀과바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109743387/M,,109743387
앤의 오두막으로 오세요,이남석,우리교육,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109747519/M,,109747519
청소년을 위한 조영래 평전,최용탁,우리교육,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109747769/M,,109747769
늘 숫자에서 막히는 직장인을 위한 실전 회계상식,채수윤,아틀라스북스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109783942/M,,109783942
이현석의 입이 트이는 영어 최고의 스피킹 60 - 일상생활 편,이현석,EBS BOOKS,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109784714/M,,109784714
커지고 커지고 커지고,클라우디오 고베티 글,주니어RHK,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109785428/M,,109785428
호모 엑세쿠탄스 1,이문열,알에이치코리아(RHK),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109785430/M,,109785430
호모 엑세쿠탄스 2,이문열,알에이치코리아(RHK),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109785431/M,,109785431
호모 엑세쿠탄스 3,이문열,알에이치코리아(RHK),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109785433/M,,109785433
