title,author,publisher,library,platform,provider,image_url,isbn
청춘의 독서(특별증보판),유시민,웅진지식하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808901294742/L4808901294742.jpg,
더 퍼스트,유나바머,위즈덤하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801171714040/L4801171714040.jpg,
신경계는 답을 알고 있다,김경훈,작가와,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/480D250504900/L480D250504900.jpg,
태어나려는 자는 하나의 세계를 깨뜨려야 한다,김종원,마인드셀프,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654590/L4801194654590.jpg,
당신은 언제나 괜찮다,이현수,북파머스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193937618/L4801193937618.jpg,
마흔에 읽는 비트겐슈타인,임재성,유노북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801171831020/L4801171831020.jpg,
제2차 냉전 시대,제이슨 솅커,더페이지,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194156186/L4801194156186.jpg,
아이패드 드로잉으로 기록하는 일상의 조각들,이이오(김민정),한빛라이프,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194725047/L4801194725047.jpg,
요즘 교사를 위한 AI 수업 활용 가이드,박진환,한빛미디어,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801169213616/L4801169213616.jpg,
포기할 자유,이재구,아마존북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808957753354/L4808957753354.jpg,
엄마의 고물상,현지영,비엠케이,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801189703814/L4801189703814.jpg,
텔 미 모어 마마,김준녕,네오픽션,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801157404613/L4801157404613.jpg,
경영의 길을 묻다,마쓰시타 고노스케/김정환,지니의서재,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194620052/L4801194620052.jpg,
도시의 소문과 영원의 말,나인경,허블,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193078489/L4801193078489.jpg,
마음이 요동칠 때 기꺼이 나는 혼자가 된다,김지호,몽스북,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801191401913/L4801191401913.jpg,
몸을 쭉,신혜영,천개의바람,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801165736157/L4801165736157.jpg,
무엇을 사랑하고 어떻게 행복할 것인가,유키 소노마,북플레저,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193937588/L4801193937588.jpg,
알피는 가족이 필요해,레이첼 웰스,해피북스투유,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801170964231/L4801170964231.jpg,
일본어 잘하고 싶을 땐 다락원 독학 기초 문법,정의상,다락원,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808927713159/L4808927713159.jpg,
저스티스의 한 뼘 더 깊은 세계사: 유럽 편,저스티스(윤경록),믹스커피,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801170436325/L4801170436325.jpg,
주니어 백엔드 개발자가 반드시 알아야 할 실무 지식,최범균,한빛미디어,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801169213746/L4801169213746.jpg,
회계가 머니?,김수헌,어바웃어북,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801192229608/L4801192229608.jpg,
김창옥의 마음이 자라는 따뜻한 소통 법칙 45,김창옥,나무생각,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801162183480/L4801162183480.jpg,
나는 거인에게 억만장자가 되는 법을 배웠다,앤드루 윌킨슨,갤리온,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808901294315/L4808901294315.jpg,
부서지는 아이들,애비게일 슈라이어,웅진지식하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808901294698/L4808901294698.jpg,
산 루이스 레이의 다리(신형철해제본),손턴 와일더,클레이하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193235516/L4801193235516.jpg,
결국 국민이 합니다,이재명,오마이북,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808997780624/L4808997780624.jpg,
고독한 용의자,찬호께이,위즈덤하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801171713609/L4801171713609.jpg,
"다 좋아질 거야, 행복이 쏟아질 만큼",길연우,북로망스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193937595/L4801193937595.jpg,
어쩌면 우리는 평생 최강,고바야시 사요코,알토북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194655030/L4801194655030.jpg,
실버 웨이브,박재병,클라우드나인,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194534199/L4801194534199.jpg,
어른의 기분 관리법: 심리학편,손힘찬,어센딩,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801198754067/L4801198754067.jpg,
경이로운 한국인,장클로드 드크레센조,마음의숲,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801162851686/L4801162851686.jpg,
