title,author,publisher,library,image_url,isbn,provider,platform
오즈의 마법 - 오즈의 마법사 시리즈 13 [전자책],L.프랭크바움,문학세계사,서울도서관 (API),,,,Mixed
2008 신춘문예 당선시집 [전자책],편집부,문학세계사,서울도서관 (API),,,,Mixed
곰대통령과 여선생님 [전자책],김인숙,아동문예사,서울도서관 (API),,,,Mixed
우리들의 산타클로스 [전자책],김영훈,아동문예사,서울도서관 (API),,,,Mixed
고전문학 - 박씨전 옹고집전 [전자책],박종현,아동문예사,서울도서관 (API),,,,Mixed
사랑의꽃다발 [전자책],정혜진,아동문예사,서울도서관 (API),,,,Mixed
자연나라 풍경소리 [전자책],박종록,아동문예사,서울도서관 (API),,,,Mixed
신나는 우산 [전자책],채정순,아동문예사,서울도서관 (API),,,,Mixed
사랑의 반딧불 [전자책],정명희,아동문예사,서울도서관 (API),,,,Mixed
컴퓨터박사 산 속에 빠지다 [전자책],김학산,아동문예사,서울도서관 (API),,,,Mixed
새들도 사랑 뽀뽀할 텐데 [전자책],박정식,아동문예사,서울도서관 (API),,,,Mixed
휘파람 부는 감나무 [전자책],조임생,아동문예사,서울도서관 (API),,,,Mixed
어린이와 어른을 위한 동시 - 아궁이 너처럼 [전자책],한명순,아동문예사,서울도서관 (API),,,,Mixed
"즐거운 지식탐험 20 - 신화, 과학을 들어 올리다 [전자책]",정창훈,웅진주니어,서울도서관 (API),,,,Mixed
거울 나라의 앨리스 (펭귄 클래식 시리즈 72) [전자책],루이스 캐럴,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
남과 여의 과학 [전자책],김형자,갤리온,서울도서관 (API),,,,Mixed
햄릿 (펭귄 클래식 시리즈-73) [전자책],윌리엄 셰익스피어,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
제인 에어 1 (펭귄 클래식 시리즈 74) [전자책],샬럿 브론테,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
북극 얼굴이 녹을때 [전자책],최승호,문학에디션뿔,서울도서관 (API),,,,Mixed
동화문학 - 날아라 우주선 [전자책],정혜진,아동문예사,서울도서관 (API),,,,Mixed
그곳에 가면 느낌표가 있다 [전자책],오순택,아동문예사,서울도서관 (API),,,,Mixed
감자 속에는 푸른 풀밭이 있나봐 [전자책],황연옥,아동문예사,서울도서관 (API),,,,Mixed
검정고무신을 신은 제비꽃 [전자책],안재식,아동문예사,서울도서관 (API),,,,Mixed
밀짚모자는 비밀을 알고있다 [전자책],김영훈,아동문예사,서울도서관 (API),,,,Mixed
스토리가 스펙을 이긴다 [전자책],김정태,갤리온,서울도서관 (API),,,,Mixed
"심리학, 열일곱 살을 부탁해 [전자책]",이정현,걷는나무,서울도서관 (API),,,,Mixed
리어 왕 ( 펭귄 클래식 시리즈-77 ) [전자책],윌리엄 셰익스피어,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
가든파티 (펭귄 클래식 시리즈-79) [전자책],캐서린 맨스필드,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
웅진인물이야기 4 - 노구치 이야기 [전자책],정지아,웅진주니어,서울도서관 (API),,,,Mixed
철학으로 만나는 우리 역사 [전자책],최양진,갤리온,서울도서관 (API),,,,Mixed
모던 팥쥐전 [전자책],조선희,노블마인,서울도서관 (API),,,,Mixed
현명한 부모는 아이를 느리게 키운다 [전자책],신의진,걷는나무,서울도서관 (API),,,,Mixed
웅진인물이야기 5 - 유관순 이야기 [전자책],장종현,웅진주니어,서울도서관 (API),,,,Mixed
팬이야 [전자책],전아리,노블마인,서울도서관 (API),,,,Mixed
웅진 책마을 48 - 바람처럼 달렸다 [전자책],김남중,웅진주니어,서울도서관 (API),,,,Mixed
감정교육 2 (펭귄 클래식 시리즈-90) [전자책],귀스타브 플로베르,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
말테의 수기 (펭귄 클래식 시리즈-97) [전자책],라이너 마리아 릴케,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
웅진 책마을 49 - 학교 가기 싫은 아이들이 다니는 학교 [전자책],송미경,웅진주니어,서울도서관 (API),,,,Mixed
레 미제라블 1 (펭귄 클래식 시리즈-91) [전자책],빅토르 위고,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
서른 살엔 미처 몰랐던 것들 [전자책],김선경,걷는나무,서울도서관 (API),,,,Mixed
핫 트렌드 2011 [전자책],"한국트렌드연구소,PFIN",리더스북,서울도서관 (API),,,,Mixed
나는 유약진이다 (늑대를 속여야 하는 한 남자) [전자책],류전윈,웅진지식하우스,서울도서관 (API),,,,Mixed
손바닥 편지 [전자책],이화주,아동문예사,서울도서관 (API),,,,Mixed
엄마가 기다린다 [전자책],정경련,아동문예사,서울도서관 (API),,,,Mixed
몽당초 [전자책],양동욱,아동문예사,서울도서관 (API),,,,Mixed
탈춤추는 금수레 [전자책],김영순,아동문예사,서울도서관 (API),,,,Mixed
우물에서 나온 당나귀 [전자책],홍영순,아동문예사,서울도서관 (API),,,,Mixed
소쩍새 우는 언덕 [전자책],김봉임,아동문예사,서울도서관 (API),,,,Mixed
아함 잠 깨고 나온 씨앗들 [전자책],채정미,아동문예사,서울도서관 (API),,,,Mixed
어느 시인의 팡세 [전자책],심갑섭,프리윌출판사,서울도서관 (API),,,,Mixed
쇼콜라 쇼콜라 [전자책],김민서,노블마인,서울도서관 (API),,,,Mixed
웅진 책마을 - 선생님도 첫사랑이 있었나요? [전자책],"박관희, 김나연",웅진주니어,서울도서관 (API),,,,Mixed
자기만의 방 (펭귄 클래식 시리즈-99) [전자책],버지니아 울프,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
여자를 증오한 남자들 1 (밀레니엄millennium-1부) [전자책],스티그 라르손,문학에디션뿔,서울도서관 (API),,,,Mixed
핸드드립 커피 좋아하세요? [전자책],김훈태,갤리온,서울도서관 (API),,,,Mixed
처음고전 4 - 천냥빚을진새색시 [전자책],최선경,웅진주니어,서울도서관 (API),,,,Mixed
아이리더십 [전자책],"제이 엘리엇, 윌리엄 사이먼",웅진지식하우스,서울도서관 (API),,,,Mixed
"나의 첫소설-001 나만의 비밀 친구, 제 8의 힘 [전자책]",카티 리베이로,교학사,서울도서관 (API),,,,Mixed
나의 첫소설-003 나는 동생이 필요없다 [전자책],카티 리베이로,교학사,서울도서관 (API),,,,Mixed
나의 첫소설-005 나는 파업중이에요 [전자책],아멜리 쿠튀르,교학사,서울도서관 (API),,,,Mixed
꽃신을 짓는 사람 [전자책],강소천,교학사,서울도서관 (API),,,,Mixed
어린이 초한지 3 : 천하의 주인 [전자책],최근덕,느낌이있는책,서울도서관 (API),,,,Mixed
콩 반쪽의 행복 [전자책],수지 모건스턴,시소,서울도서관 (API),,,,Mixed
난 과자로 공부했다 [전자책],라쉘 오스파테르,시소,서울도서관 (API),,,,Mixed
아우슈비츠의 바이올린 [전자책],야엘 아쌍,시소,서울도서관 (API),,,,Mixed
나뭇잎들이 다른 것처럼 [전자책],이호성,아동문예사,서울도서관 (API),,,,Mixed
무관심 아빠의 미국대학 보내기 [전자책],김광호,opms,서울도서관 (API),,,,Mixed
